o_x,h_x,l_x,c_x,t,o_y,h_y,l_y,c_y,longLiquidationUsd,shortLiquidationUsd,longAccount_x,shortAccount_x,longShortRadio_x,longAccount_y,shortAccount_y,longShortRadio_y,longAccount,shortAccount,longShortRadio_x.1,longShortRadio_y.1,buy,sell,price_x,index,googleTrend,difficulty,transcations,sentByAddress,tweets,avg,ahr999,value,puellMultiple,modelVariance,nextHalving,stockFlow365dAverage,ma110,ma350Mu2,3LowBullHigh,x8,2LowBullHigh,price_y,ma350,1.6AccumulationHigh,x21,x13,x5,BTC price,Model price,Fire sale,Buy,Accumulate,Still cheap,Hold,Is this a bubble?,FOMO intensifies,"Sell. Seriously, sell",Maximum bubble territory,values,prices,RSI,MACD,MACD_Signal
78.06,78.46,73.16,74.35,2022-11-01,0.00080698,0.01096295,-0.01371547,-0.01371547,0.0,0.0,61.39,38.61,1.59,42.0,56.0,0.75,11.45,11.84,0.967,1.075247662509,1150170,1051101,20504.0,6.99387124,16.266,36835682546788.0,276048,535109,117865,23818.0029,0.4261379324558922,20504.0,0.5814095970359761,-0.8653998301603281,549,48678.58396506849,20913.581981981984,66303.56868571429,99455.35302857144,1542.4610285714286,66303.56868571429,20488.0,33151.78434285714,53042.85494857143,56.648812500000005,293.28445714285715,25639.92628571429,20488.0,17762.286282,23671.107684,32173.737237,44168.101763,59626.937439,80496.365543,110590.253787,152271.046475,204417.485882,278067.796529,31.0,20659.5,64.84561732465174,344.28212395112496,241.71442095850085
74.35,79.36,73.5,74.91,2022-11-02,-0.01371547,0.00939782,-0.01371547,-0.00070016,0.0,0.0,61.54,38.46,1.6,41.0,57.0,0.719,11.8,12.03,0.981,0.984277877577,1183374,1143108,20412.0,7.17652414,16.65,36835682546788.0,257345,510094,117496,23736.8409,0.4232767059193968,20412.0,0.4944184635584432,-0.8837624686036456,548,48789.37256090074,20910.464864864865,66072.4144,99108.62159999998,1542.4610285714286,66072.4144,20161.0,33036.2072,52857.93152,56.648812500000005,293.28445714285715,25639.92628571429,20161.0,17783.875087,23699.878244,32212.842143,44221.784972,59699.409772,80594.203192,110724.668432,152456.121181,204665.940903,278405.768302,30.0,20471.0,62.883896814930246,314.3225337674048,256.23604352028167
74.91,75.17,70.08,72.31,2022-11-03,-0.00070016,0.00676324,-0.00540006,-0.00233756,0.0,0.0,66.56,33.44,1.99,42.0,56.0,0.75,12.01,12.64,0.95,1.072971557431,980019,989974,20255.0,5.97455326,16.43,36835682546788.0,296875,585083,108848,23655.2796,0.4177442623472252,20255.0,0.6564686533151584,-0.8804700414473317,547,48737.542749832064,20904.663063063064,65860.66582857142,98790.99874285712,1542.4610285714286,65860.66582857142,20206.0,32930.33291428571,52688.53266285714,56.648812500000005,293.28445714285715,25639.92628571429,20206.0,17805.485846,23728.678061,32251.986816,44275.522772,59771.955802,80692.140333,110859.219765,152641.384092,204914.648581,278744.083764,30.0,20465.5,64.35344459567371,290.8576407885048,263.1603629739263
72.31,79.64,72.02,79.36,2022-11-04,-0.00233756,0.00805407,-0.00233756,-0.00018471,0.0,0.0,66.33,33.67,1.97,42.0,56.0,0.75,11.83,11.74,1.008,1.026312731364,1298189,1248924,20697.0,7.32057898,16.905,36835682546788.0,281386,569110,121704,23578.4829,0.4370901698865492,20697.0,0.5193320606355932,-0.8362172531692185,546,48813.11333166261,20904.455855855856,65644.72868571429,98467.09302857144,1542.4610285714286,65644.72868571429,21153.0,32822.364342857145,52515.78294857143,56.648812500000005,293.28445714285715,25639.92628571429,21153.0,17827.118576,23757.50716,32291.171287,44329.315208,59844.575591,80790.177048,110993.907898,152826.835361,205163.609123,279082.743193,30.0,20128.0,70.5555106130094,344.7030079328033,279.4688919657017
79.36,81.61,79.2,80.74,2022-11-05,-0.00018471,0.00611547,-0.00457427,-0.0012941,0.0,0.0,56.9,43.1,1.32,46.0,52.0,0.885,11.27,11.86,0.95,1.007206893964,851103,901959,21335.0,7.65825976,16.323,36835682546788.0,257047,531530,109155,23501.4553,0.4654368355244572,21335.0,0.6386085083327059,-0.8300359773843535,545,48826.51259883544,20908.753153153157,65423.8144,98135.7216,1542.4610285714286,65423.8144,21290.0,32711.9072,52339.05152,56.648812500000005,293.28445714285715,25639.92628571429,21290.0,17848.773297,23786.365563,32330.395589,44383.162325,59917.269198,80888.313418,111128.732942,153012.475143,205412.822734,279421.746873,30.0,20246.0,71.09364818193664,393.89008466485757,302.3531305055329
80.74,82.5,77.48,78.59,2022-11-06,-0.0012941,0.00757235,-0.0012941,0.00757235,0.0,0.0,54.95,45.05,1.22,42.0,56.0,0.75,11.77,12.23,0.962,1.02569085694,973211,942550,21220.0,7.2404852,14.476,36835682546788.0,223267,467850,99840,23422.8767,0.4614439473165388,21220.0,0.5852409613439374,-0.848323174558347,544,48875.086637287655,20895.07747747748,65205.39725714285,97808.09588571428,1542.4610285714286,65205.39725714285,20925.0,32602.698628571427,52164.31780571429,56.648812500000005,293.28445714285715,25639.92628571429,20925.0,17870.450025,23815.253295,32369.659755,44437.064166,59990.036685,80986.549524,111263.69501,153198.303591,205662.289624,279761.095084,38.0,21114.5,63.846089949694765,398.82138313396354,321.646781031219
78.59,87.35,77.68,85.1,2022-11-07,0.00757235,0.00757235,-0.00057102,0.00649671,0.0,0.0,60.0,40.0,1.5,41.0,57.0,0.719,11.83,11.91,0.993,1.046070380377,1095960,1218552,20772.0,7.53817548,16.907,36766791551487.0,264725,507463,114921,23341.3854,0.4431969228318732,20772.0,0.6067398882212413,-0.8633300038911997,543,48855.344003222686,20870.446846846848,65001.15154285714,97501.72731428572,1542.4610285714286,65001.15154285714,20605.0,32500.57577142857,52000.92123428572,56.648812500000005,293.28445714285715,25639.92628571429,20605.0,17892.148779,23844.17038,32408.963818,44491.020778,60062.87811,81084.885449,111398.794213,153384.320861,205912.009997,280100.788108,40.0,21292.0,62.77159406895124,372.6128975113643,331.84000432724804
85.1,85.1,85.1,85.1,2022-11-08,0.00649671,0.00649671,0.00649671,0.00649671,0.0,0.0,67.74,32.26,2.1,42.0,56.0,0.75,11.69,12.12,0.965,1.046070380377,2132808,1578360,19570.0,8.59550169,24.83,36762198818467.0,295615,555614,143108,23257.6704,0.3943488615610944,19570.0,0.678240353352627,-0.9667968704783352,542,48830.78427576152,20827.918108108108,64777.27331428572,97165.90997142855,1542.4610285714286,64777.27331428572,18570.31,32388.63665714286,51821.81865142858,56.648812500000005,293.28445714285715,25639.92628571429,18570.31,17913.869577,23873.116843,32448.30781,44545.032204,60135.793536,81183.321273,111534.030664,153570.527106,206161.984063,280440.826228,33.0,20938.0,37.856054660449665,185.5214298866922,302.57628943913693
56.94,114.98,47.72,112.81,2022-11-09,-0.06722695,0.06092248,-0.06722695,-0.04238826,0.0,0.0,67.74,32.26,2.1,42.0,56.0,0.75,11.69,12.12,0.965,0.952097003503,1687539,1272520,17519.0,12.51719098,45.618,36762198818467.0,292116,553177,196136,23162.7799,0.3169506210896559,17519.0,0.5610902025471631,-1.1211432379186714,541,48835.89605167454,20762.80963963964,64540.52451428571,96810.78677142855,1542.4610285714286,64540.52451428571,15915.96,32270.26225714285,51632.41961142857,56.648812500000005,293.28445714285715,25639.92628571429,15915.96,17935.612437,23902.092706,32487.691763,44599.09849,60208.783022,81281.857079,111669.404476,153756.922482,206412.212028,280781.209726,31.0,20545.0,20.218879713480717,-174.91742856439305,207.07754583843095
112.81,136.6,53.86,127.35,2022-11-10,-0.04238826,-0.04238826,-0.14163662,-0.05898449,0.0,0.0,72.9,27.1,2.69,45.0,53.0,0.849,14.6,13.9,1.05,1.025120990647,2243251,1764672,16915.0,10.66859344,48.537,36762198818467.0,292684,573050,152541,23064.3435,0.2963911136307788,16915.0,0.4764624527700834,-1.023204509479239,540,48871.10069778333,20716.56,64304.65188571429,96456.97782857144,1542.4610285714286,64304.65188571429,17566.29,32152.325942857144,51443.72150857144,56.648812500000005,293.28445714285715,25639.92628571429,17566.29,17957.377377,23931.097994,32527.115711,44653.21968,60281.846628,81380.492948,111804.915759,153943.507142,206662.694099,281121.938883,31.0,20545.0,35.44354049117372,-323.6689281649342,100.92825103775795
